measure,node,period_start,value,n,source_ref
osha_total_case_rate,AG,2006-10-01,3.92,97702,osha:fy2007
osha_total_case_rate,AR,2006-10-01,3.68,221653,osha:fy2007
osha_total_case_rate,CM,2006-10-01,1.06,39948,osha:fy2007
osha_total_case_rate,DJ,2006-10-01,4.18,106885,osha:fy2007
osha_total_case_rate,DL,2006-10-01,1.94,16131,osha:fy2007
osha_total_case_rate,DN,2006-10-01,2.26,14668,osha:fy2007
osha_total_case_rate,ED,2006-10-01,0.67,4192,osha:fy2007
osha_total_case_rate,EP,2006-10-01,0.74,18139,osha:fy2007
osha_total_case_rate,GS,2006-10-01,1.25,12076,osha:fy2007
osha_total_case_rate,HE,2006-10-01,1.59,60907,osha:fy2007
osha_total_case_rate,HU,2006-10-01,0.96,9721,osha:fy2007
osha_total_case_rate,IN,2006-10-01,6.41,68867,osha:fy2007
osha_total_case_rate,NF,2006-10-01,0.52,1355,osha:fy2007
osha_total_case_rate,NN,2006-10-01,0.57,18361,osha:fy2007
osha_total_case_rate,NQ,2006-10-01,3.93,2976,osha:fy2007
osha_total_case_rate,NU,2006-10-01,0.64,3576,osha:fy2007
osha_total_case_rate,NV,2006-10-01,2.93,175406,osha:fy2007
osha_total_case_rate,NV,2006-10-01,2.78,159500,osha:fy2007
osha_total_case_rate,OM,2006-10-01,1.08,5256,osha:fy2007
osha_total_case_rate,SB,2006-10-01,1.07,4208,osha:fy2007
osha_total_case_rate,ST,2006-10-01,1.03,34501,osha:fy2007
osha_total_case_rate,SZ,2006-10-01,1.48,62563,osha:fy2007
osha_total_case_rate,TD,2006-10-01,2.28,53421,osha:fy2007
osha_total_case_rate,TR,2006-10-01,1.33,113027,osha:fy2007
osha_lost_time_case_rate,AF,2007-10-01,1.47,155026,osha:fy2008
osha_lost_time_case_rate,AG,2007-10-01,1.88,96523,osha:fy2008
osha_lost_time_case_rate,AR,2007-10-01,1.64,251357,osha:fy2008
osha_lost_time_case_rate,CM,2007-10-01,0.52,41162,osha:fy2008
osha_lost_time_case_rate,DJ,2007-10-01,2.38,107700,osha:fy2008
osha_lost_time_case_rate,DL,2007-10-01,0.74,16256,osha:fy2008
osha_lost_time_case_rate,DN,2007-10-01,0.74,14755,osha:fy2008
osha_lost_time_case_rate,ED,2007-10-01,0.79,4196,osha:fy2008
osha_lost_time_case_rate,EP,2007-10-01,0.43,18059,osha:fy2008
osha_lost_time_case_rate,GS,2007-10-01,0.76,11924,osha:fy2008
osha_lost_time_case_rate,HE,2007-10-01,0.78,61954,osha:fy2008
osha_lost_time_case_rate,HU,2007-10-01,0.66,9537,osha:fy2008
osha_lost_time_case_rate,IN,2007-10-01,2.27,68487,osha:fy2008
osha_lost_time_case_rate,NF,2007-10-01,0.15,1377,osha:fy2008
osha_lost_time_case_rate,NN,2007-10-01,0.18,18493,osha:fy2008
osha_lost_time_case_rate,NQ,2007-10-01,2.07,3038,osha:fy2008
osha_lost_time_case_rate,NU,2007-10-01,0.37,3778,osha:fy2008
osha_lost_time_case_rate,NV,2007-10-01,1.44,176619,osha:fy2008
osha_lost_time_case_rate,NV,2007-10-01,1.27,159975,osha:fy2008
osha_lost_time_case_rate,OM,2007-10-01,0.5,5379,osha:fy2008
osha_lost_time_case_rate,SB,2007-10-01,0.63,3787,osha:fy2008
osha_lost_time_case_rate,ST,2007-10-01,0.58,35688,osha:fy2008
osha_lost_time_case_rate,SZ,2007-10-01,0.81,61752,osha:fy2008
osha_lost_time_case_rate,TD,2007-10-01,1.2,54476,osha:fy2008
osha_lost_time_case_rate,TR,2007-10-01,0.74,112668,osha:fy2008
osha_total_case_rate,AF,2007-10-01,2.91,155026,osha:fy2008
osha_total_case_rate,AG,2007-10-01,5.53,96523,osha:fy2008
osha_total_case_rate,AR,2007-10-01,3.38,251357,osha:fy2008
osha_total_case_rate,CM,2007-10-01,1.06,41162,osha:fy2008
osha_total_case_rate,DJ,2007-10-01,4.31,107700,osha:fy2008
osha_total_case_rate,DL,2007-10-01,1.95,16256,osha:fy2008
osha_total_case_rate,DN,2007-10-01,2.93,14755,osha:fy2008
osha_total_case_rate,ED,2007-10-01,1.17,4196,osha:fy2008
osha_total_case_rate,EP,2007-10-01,0.7,18059,osha:fy2008
osha_total_case_rate,GS,2007-10-01,1.19,11924,osha:fy2008
osha_total_case_rate,HE,2007-10-01,1.47,61954,osha:fy2008
osha_total_case_rate,HU,2007-10-01,1.12,9537,osha:fy2008
osha_total_case_rate,IN,2007-10-01,6.64,68487,osha:fy2008
osha_total_case_rate,NF,2007-10-01,0.44,1377,osha:fy2008
osha_total_case_rate,NN,2007-10-01,0.45,18493,osha:fy2008
osha_total_case_rate,NQ,2007-10-01,3.88,3038,osha:fy2008
osha_total_case_rate,NU,2007-10-01,0.48,3778,osha:fy2008
osha_total_case_rate,NV,2007-10-01,2.87,176619,osha:fy2008
osha_total_case_rate,NV,2007-10-01,2.71,159975,osha:fy2008
osha_total_case_rate,OM,2007-10-01,0.8,5379,osha:fy2008
osha_total_case_rate,SB,2007-10-01,1.35,3787,osha:fy2008
osha_total_case_rate,ST,2007-10-01,1.06,35688,osha:fy2008
osha_total_case_rate,SZ,2007-10-01,1.31,61752,osha:fy2008
osha_total_case_rate,TD,2007-10-01,2.02,54476,osha:fy2008
osha_total_case_rate,TR,2007-10-01,1.23,112668,osha:fy2008
osha_lost_time_case_rate,AF,2008-10-01,1.49,154860,osha:fy2009
osha_lost_time_case_rate,AG,2008-10-01,1.85,92371,osha:fy2009
osha_lost_time_case_rate,AR,2008-10-01,1.56,265582,osha:fy2009
osha_lost_time_case_rate,CM,2008-10-01,1.03,74305,osha:fy2009
osha_lost_time_case_rate,DJ,2008-10-01,2.35,110231,osha:fy2009
osha_lost_time_case_rate,DL,2008-10-01,0.87,16154,osha:fy2009
osha_lost_time_case_rate,DN,2008-10-01,0.67,15346,osha:fy2009
osha_lost_time_case_rate,ED,2008-10-01,0.63,4113,osha:fy2009
osha_lost_time_case_rate,EP,2008-10-01,0.29,18153,osha:fy2009
osha_lost_time_case_rate,GS,2008-10-01,0.69,12003,osha:fy2009
osha_lost_time_case_rate,HE,2008-10-01,0.73,64311,osha:fy2009
osha_lost_time_case_rate,HU,2008-10-01,0.41,9565,osha:fy2009
osha_lost_time_case_rate,IN,2008-10-01,2.08,71536,osha:fy2009
osha_lost_time_case_rate,NF,2008-10-01,0.43,1408,osha:fy2009
