year,agency,n_resp,wt_sum,eei,eei_leaders,eei_supervisors,eei_intrinsic,gsi,pci,exi,pp_recommend,pp_job_sat,pp_pay_sat,pp_org_sat,pp_encouraged,pp_workload,pp_skills,pp_perf_diff,pp_sat_recog,pp_recog_quality,leave_no,leave_other,leave_within,leave_outside,leave_any,leave_n_valid,leave_missing_pct,leave2020pre_other,leave2020pre_within,leave2020pre_outside
2019,SZ,27933,57700.7,66.67,57.14,72.49,70.38,64.47,,,64.9,66.49,65.32,61.15,53.88,49.19,59.68,35.15,52.55,51.63,70.46,9.89,15.8,3.85,29.54,25483,8.77,,,
2019,TC,317,339.5,84.35,77.63,87.63,87.79,81.37,,,89.63,84.98,63.78,87.09,83.3,73.44,90.17,57.68,73.05,78.72,70.98,8.08,12.93,8.02,29.02,307,3.15,,,
2019,TD,20414,50327.9,68.59,55.47,77.94,72.36,67.42,,,71.65,71.49,63.33,63.23,61.1,60.8,68.17,37.17,52.96,53.19,70.38,10.45,14.52,4.65,29.62,19284,5.54,,,
2019,TR,41771,76655.2,69.46,58.18,78.89,71.3,64.41,,,66.9,68.85,61.04,60.85,58.87,60.46,64.42,40.62,56.11,53.65,70.31,12.1,14.36,3.23,29.69,39289,5.94,,,
2019,XX,2968,4493.0,69.26,54.91,79.45,73.41,64.92,,,64.03,68.46,65.56,61.64,62.94,61.91,69.31,44.98,56.91,56.24,59.96,12.96,19.43,7.64,40.04,2132,28.17,,,
2020,AF,35476,133832.1,74.46,65.79,80.81,76.77,68.9,,,70.75,71.68,66.5,66.66,71.79,69.19,72.74,51.77,58.67,66.55,58.22,12.39,25.03,4.36,41.78,31636,10.82,9.21,22.25,3.1
2020,AG,33399,69779.3,69.21,54.55,79.29,73.8,64.25,,,66.5,68.09,62.96,59.44,64.1,56.67,67.47,45.48,53.3,56.81,69.44,13.13,13.12,4.31,30.56,30287,9.32,10.27,12.14,3.05
2020,ALL,624800,1452901.3,72.45,61.57,80.23,75.54,68.73,,,70.69,71.58,67.03,65.61,66.59,66.71,69.93,50.86,58.73,64.25,66.94,11.26,18.04,3.76,33.06,567057,9.24,8.89,16.34,2.65
2020,AM,2097,3359.8,72.78,58.06,82.89,77.4,68.52,,,73.59,68.74,67.55,64.2,72.96,51.25,75.75,56.45,58.76,71.8,74.31,9.87,7.69,8.12,25.69,1920,8.44,7.6,7.61,5.87
2020,AR,82155,193984.4,72.71,62.75,78.9,76.5,69.01,,,70.41,71.98,67.56,66.08,69.02,67.48,70.09,49.95,57.61,63.53,60.66,12.32,23.7,3.32,39.34,74719,9.05,9.76,21.53,2.3
