measure,node,period_start,value,n,source_ref
fevs_leave_any,CM63,2019-01-01,27.7,3737,fevs:2019-prdf-level1
fevs_leave_other,CM63,2019-01-01,10.3,3737,fevs:2019-prdf-level1
fevs_leave_outside,CM63,2019-01-01,3.9,3737,fevs:2019-prdf-level1
fevs_leave_within,CM63,2019-01-01,13.6,3737,fevs:2019-prdf-level1
fevs_engagement,DD04,2019-01-01,65.0,2589,fevs:2019-prdf-level1
fevs_leave_any,DD04,2019-01-01,47.7,2589,fevs:2019-prdf-level1
fevs_leave_other,DD04,2019-01-01,10.5,2589,fevs:2019-prdf-level1
fevs_leave_outside,DD04,2019-01-01,3.1,2589,fevs:2019-prdf-level1
fevs_leave_within,DD04,2019-01-01,34.1,2589,fevs:2019-prdf-level1
fevs_engagement,DD07,2019-01-01,69.7,4879,fevs:2019-prdf-level1
fevs_leave_any,DD07,2019-01-01,38.8,4879,fevs:2019-prdf-level1
fevs_leave_other,DD07,2019-01-01,10.0,4879,fevs:2019-prdf-level1
fevs_leave_outside,DD07,2019-01-01,2.7,4879,fevs:2019-prdf-level1
fevs_leave_within,DD07,2019-01-01,26.1,4879,fevs:2019-prdf-level1
fevs_engagement,DD10,2019-01-01,78.4,3106,fevs:2019-prdf-level1
fevs_leave_any,DD10,2019-01-01,31.6,3106,fevs:2019-prdf-level1
fevs_leave_other,DD10,2019-01-01,6.9,3106,fevs:2019-prdf-level1
fevs_leave_outside,DD10,2019-01-01,2.0,3106,fevs:2019-prdf-level1
fevs_leave_within,DD10,2019-01-01,22.7,3106,fevs:2019-prdf-level1
fevs_engagement,DD21,2019-01-01,68.4,1364,fevs:2019-prdf-level1
fevs_leave_any,DD21,2019-01-01,46.2,1364,fevs:2019-prdf-level1
fevs_leave_other,DD21,2019-01-01,10.9,1364,fevs:2019-prdf-level1
fevs_leave_outside,DD21,2019-01-01,3.9,1364,fevs:2019-prdf-level1
fevs_leave_within,DD21,2019-01-01,31.5,1364,fevs:2019-prdf-level1
fevs_engagement,DD26,2019-01-01,75.8,1113,fevs:2019-prdf-level1
fevs_leave_any,DD26,2019-01-01,30.6,1113,fevs:2019-prdf-level1
fevs_leave_other,DD26,2019-01-01,6.0,1113,fevs:2019-prdf-level1
fevs_leave_outside,DD26,2019-01-01,2.5,1113,fevs:2019-prdf-level1
fevs_leave_within,DD26,2019-01-01,22.1,1113,fevs:2019-prdf-level1
fevs_engagement,DD27,2019-01-01,69.0,1056,fevs:2019-prdf-level1
fevs_leave_any,DD27,2019-01-01,40.8,1056,fevs:2019-prdf-level1
fevs_leave_other,DD27,2019-01-01,8.9,1056,fevs:2019-prdf-level1
